Ano,Campus,N_Imoveis_Itens,Cidades,Area_Terreno_m2,Area_Utilizacao_m2,Valor_Terreno_R$,Valor_Benfeitoria_R$,Valor_Final_R$,Latitude_Media,Longitude_Media,Fonte
2015,CJA,12,Camacã; Canavieiras; Coaraci; Ibicaraí; Ilhéus; Itabuna; Itacaré; Pau Brasil; Ubatã,390643.24,4985.37,2402816.42,11734051.66,14136868.08,-14.88677437,-39.30891122,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2015,CPF,5,Caravelas; Itamarajú; Mucuri; Nova Viçosa; Teixeira de Freitas,9359.0,2024.6,1280558.87,3697507.48,4978066.35,-17.65624235,-39.58248237,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2015,CSC,4,Eunápolis; Porto Seguro; Santa Cruz de Cabrália,232480.0,19850.0,24957830.0,427590955.66,452548785.66,-16.38010881,-39.21100277,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2015,Reitoria,1,Salvador,91.6,91.6,0,0,0.0,-12.9924746,-38.52556943,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2016,CJA,13,Camacã; Canavieiras; Coaraci; Ibicaraí; Ilhéus; Itabuna; Itacaré; Pau Brasil; Ubatã,493013.98,7462.37,2731966.88,11734051.45,14466018.33,-14.87808883,-39.30452524,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2016,CPF,6,Caravelas; Itamarajú; Mucuri; Nova Viçosa; Teixeira de Freitas,35262.88,4542.25,5034585.76,8161426.2,13196011.96,-17.63594661,-39.60616849,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2016,CSC,4,Eunápolis; Porto Seguro; Santa Cruz de Cabrália,232480.0,20171.0,18313350.0,42647863.96,60961213.96,-16.38010881,-39.21100277,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2016,Reitoria,1,Salvador,91.6,91.6,0,0,0.0,-12.9924746,-38.52556943,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2017,CJA,13,Camacã; Canavieiras; Coaraci; Ibicaraí; Ilhéus; Itabuna; Itacaré; Pau Brasil; Ubaitaba,493013.98,7462.37,2731966.88,11734051.45,14466018.33,-14.87808883,-39.30452524,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2017,CPF,6,Caravelas; Itamarajú; Mucuri; Nova Viçosa; Teixeira de Freitas,35262.88,4542.25,5034585.76,8161426.2,13196011.96,-17.63594661,-39.60616849,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2017,CSC,4,Eunápolis; Porto Seguro; Santa Cruz de Cabrália,232480.0,20171.0,18313350.0,42647863.96,60961213.96,-16.38010881,-39.21100277,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2018,CJA,14,Camacã; Canavieiras; Coaraci; Ibicaraí; Ilhéus; Itabuna; Itacaré; Pau Brasil; Ubaitaba,515204.66,7462.37,2798538.92,11734051.45,14532590.37,-14.87064408,-39.30076583,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2018,CPF,6,Caravelas; Itamarajú; Mucuri; Nova Viçosa; Teixeira de Freitas,35262.88,4542.25,5034585.76,8161426.2,13196011.96,-17.63594661,-39.60616849,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2018,CSC,5,Eunápolis; Porto Seguro; Santa Cruz de Cabrália,232610.0,20301.0,18339555.7,42864033.16,61203588.86,-16.39405962,-39.18173034,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2019,CJA,8,Coaraci; Ibicaraí; Ilhéus; Itabuna,514536.04,6793.75,2986960.79,11986505.66,14973466.45,-14.78143756,-39.34220547,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2019,CPF,3,Teixeira de Freitas,36189.5,5174.92,18404130.49,5204421.08,23608551.57,-17.53457419,-39.72521833,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2019,CSC,3,Porto Seguro; Santa Cruz de Cabrália,213959.57,20637.09,33675465.84,34831069.2,68506535.04,-16.38487641,-39.07506062,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2019,Reitoria,1,Itabuna,1577.36,2606.26,1311070.08,2648929.92,3960000.0,-14.78832122,-39.27480295,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2020,CJA,5,Ilhéus; Itabuna,514109.04,12420.25,8958220.9,29226043.24,38184264.14,-14.78635778,-39.26180224,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2020,CPF,2,Teixeira de Freitas,36029.5,5014.92,18322898.49,4857101.51,23180000.0,-17.53391053,-39.72338213,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2020,CSC,1,Porto Seguro,213709.57,20387.09,33629337.94,34370662.06,68000000.0,-16.42386676,-39.13627516,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2020,Reitoria,1,Itabuna,1577.36,2606.26,1311070.08,2648929.92,3960000.0,-14.78832122,-39.27480295,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2021,CJA,5,Ilhéus; Itabuna,508777.24,9353.5,14689708.67,21549621.74,36239330.41,-14.78635778,-39.26180224,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2021,CPF,2,Teixeira de Freitas,36029.5,5014.92,18322898.49,4857101.51,23180000.0,-17.53391053,-39.72338213,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2021,CSC,1,Porto Seguro,213709.57,20387.09,33629337.94,34370662.06,68000000.0,-16.42386676,-39.13627516,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2021,Reitoria,1,Itabuna,1577.36,2606.26,1311070.08,2648929.92,3960000.0,-14.78832122,-39.27480295,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2022,CJA,8,Coaraci; Ibicaraí; Ilhéus; Itabuna,502132.42,7527.5,13251344.67,16500000.0,29751344.67,-14.7742878,-39.30526934,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2022,CPF,3,Teixeira de Freitas,36189.5,5174.92,18322898.49,4857101.51,23180000.0,-17.53457419,-39.72521833,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2022,CSC,3,Porto Seguro; Santa Cruz de Cabrália,213959.57,20637.09,33629337.94,34370662.06,68000000.0,-16.38487641,-39.07506062,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2022,Reitoria,1,Itabuna,1577.36,2606.26,1311070.08,2648929.92,3960000.0,-14.78832122,-39.27480295,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2023,CJA,8,Coaraci; Ibicaraí; Ilhéus; Itabuna,502132.42,7527.5,13251344.67,16500000.0,29751344.67,-14.7742878,-39.30526934,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2023,CPF,3,Teixeira de Freitas,36189.5,14226.62,18322898.49,31688354.25,50011252.74,-17.53457419,-39.72521833,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2023,CSC,3,Porto Seguro; Santa Cruz de Cabrália,213959.57,20637.09,33629337.94,57516307.85,91145645.79,-16.38487641,-39.07506062,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2023,Reitoria,1,Itabuna,1577.36,2606.26,1311070.08,5392604.83,6703674.91,-14.78832122,-39.27480295,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2024,CJA,8,Coaraci; Ibicaraí; Ilhéus; Itabuna,502132.42,7527.5,14326497.0,16500000.0,30826497.0,-14.7742878,-39.30526934,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
2024,CPF,3,Teixeira de Freitas,36189.5,14226.62,18322898.49,31688354.25,50011252.74,-17.53457419,-39.72521833,Google Sheets 1sUk9jEEOWxmtoQHcd0LAY0UXhU76c_7PIV7eQ7JfsMA; aba Patrimônio Imobiliário1
